lap,dist,time,total time,pace,avg hr,elev,descent,effort pace
1,1.00mi,0:11:53,0:11:53,"11'53""/mi",132,203ft,30ft,"09'52""/mi"
2,1.00mi,0:20:39,0:32:31,"20'39""/mi",135,420ft,121ft,"12'46""/mi"
3,1.00mi,0:12:43,0:45:14,"12'43""/mi",134,33ft,499ft,"11'05""/mi"
4,1.00mi,0:21:54,1:07:07,"21'53""/mi",143,673ft,125ft,"10'47""/mi"
5,1.00mi,0:14:21,1:21:28,"14'21""/mi",161,223ft,13ft,"11'50""/mi"
6,1.00mi,0:15:01,1:36:29,"15'01""/mi",158,20ft,203ft,"14'52""/mi"
7,1.00mi,0:13:53,1:50:22,"13'52""/mi",170,49ft,299ft,"12'28""/mi"
8,1.00mi,0:18:08,2:08:30,"18'08""/mi",162,430ft,7ft,"11'30""/mi"
9,1.00mi,0:14:02,2:22:31,"14'02""/mi",179,69ft,115ft,"12'36""/mi"
10,1.00mi,0:13:37,2:36:09,"13'38""/mi",172,79ft,121ft,"13'02""/mi"
11,1.00mi,0:14:09,2:50:18,"14'10""/mi",149,112ft,157ft,"12'25""/mi"
12,1.00mi,0:15:18,3:05:36,"15'19""/mi",135,0ft,417ft,"12'03""/mi"
13,1.00mi,0:15:18,3:20:54,"15'19""/mi",146,187ft,194ft,"11'18""/mi"
14,1.00mi,0:18:14,3:39:08,"18'14""/mi",134,413ft,56ft,"11'00""/mi"
15,1.00mi,0:15:12,3:54:19,"15'13""/mi",142,167ft,180ft,"12'59""/mi"
16,1.00mi,0:18:11,4:12:30,"18'11""/mi",141,348ft,59ft,"12'36""/mi"
17,1.00mi,0:14:12,4:26:42,"14'13""/mi",148,66ft,210ft,"13'42""/mi"
18,1.00mi,0:18:12,4:44:54,"18'11""/mi",137,26ft,568ft,"15'33""/mi"
19,1.00mi,0:21:21,5:06:15,"21'21""/mi",140,338ft,200ft,"11'27""/mi"
20,1.00mi,0:16:46,5:23:01,"16'46""/mi",138,167ft,253ft,"12'52""/mi"
21,1.00mi,0:20:12,5:43:13,"20'12""/mi",142,361ft,295ft,"12'24""/mi"
22,1.00mi,0:21:00,6:04:13,"21'00""/mi",142,407ft,30ft,"12'40""/mi"
23,1.00mi,0:12:19,6:16:32,"12'19""/mi",147,75ft,112ft,"12'07""/mi"
24,1.00mi,0:21:31,6:38:03,"21'31""/mi",140,400ft,184ft,"13'07""/mi"
25,1.00mi,0:16:00,6:54:02,"15'59""/mi",134,0ft,292ft,"15'38""/mi"
26,1.00mi,0:17:10,7:11:13,"17'10""/mi",139,341ft,95ft,"12'38""/mi"
27,1.00mi,0:18:21,7:29:33,"18'21""/mi",139,75ft,95ft,"14'47""/mi"
28,1.00mi,0:16:31,7:46:04,"16'31""/mi",133,46ft,167ft,"14'50""/mi"
29,1.00mi,0:16:59,8:03:03,"16'59""/mi",136,56ft,351ft,"14'13""/mi"
30,1.00mi,0:19:03,8:22:07,"19'03""/mi",141,358ft,282ft,"12'09""/mi"
31,1.00mi,0:16:41,8:38:48,"16'41""/mi",142,171ft,135ft,"13'57""/mi"
32,1.00mi,0:19:03,8:57:51,"19'03""/mi",141,420ft,66ft,"12'14""/mi"
33,1.00mi,0:17:28,9:15:19,"17'28""/mi",127,79ft,400ft,"14'44""/mi"
34,1.00mi,0:19:39,9:34:58,"19'40""/mi",135,440ft,3ft,"13'23""/mi"
35,1.00mi,0:20:44,9:55:42,"20'44""/mi",132,36ft,154ft,"13'47""/mi"
36,1.00mi,0:14:45,10:10:27,"14'45""/mi",135,36ft,157ft,"13'18""/mi"
37,1.00mi,0:14:07,10:24:33,"14'07""/mi",129,0ft,400ft,"13'52""/mi"
38,1.00mi,0:13:51,10:38:24,"13'50""/mi",123,0ft,453ft,"14'37""/mi"
39,1.00mi,0:19:33,10:57:57,"19'33""/mi",146,682ft,3ft,"09'51""/mi"
40,1.00mi,0:15:52,11:13:49,"15'53""/mi",145,164ft,62ft,"13'52""/mi"
41,1.00mi,0:14:54,11:28:43,"14'55""/mi",143,121ft,262ft,"13'25""/mi"
42,1.00mi,0:24:07,11:52:50,"24'07""/mi",137,430ft,253ft,"13'02""/mi"
43,1.00mi,0:17:53,12:10:43,"17'53""/mi",133,66ft,95ft,"17'34""/mi"
44,1.00mi,0:18:00,12:28:43,"18'00""/mi",124,82ft,79ft,"17'24""/mi"
45,1.00mi,0:20:43,12:49:26,"20'42""/mi",130,236ft,154ft,"15'41""/mi"
46,1.00mi,0:16:08,13:05:34,"16'07""/mi",132,82ft,522ft,"13'42""/mi"
47,1.00mi,0:19:14,13:24:48,"19'14""/mi",134,384ft,66ft,"12'57""/mi"
48,1.00mi,0:21:18,13:46:06,"21'18""/mi",129,289ft,177ft,"14'35""/mi"
49,1.00mi,0:18:01,14:04:07,"18'01""/mi",126,30ft,515ft,"15'13""/mi"
50,1.00mi,0:24:01,14:28:08,"24'00""/mi",131,522ft,13ft,"11'59""/mi"
51,1.00mi,0:16:22,14:44:30,"16'22""/mi",132,246ft,33ft,"13'23""/mi"
52,1.00mi,0:16:00,15:00:31,"16'01""/mi",121,62ft,522ft,"14'45""/mi"
53,1.00mi,0:21:13,15:21:43,"21'13""/mi",125,390ft,236ft,"13'07""/mi"
54,1.00mi,0:17:13,15:38:57,"17'13""/mi",129,256ft,39ft,"12'43""/mi"
55,1.00mi,0:18:04,15:57:00,"18'03""/mi",120,26ft,52ft,"15'59""/mi"
56,1.00mi,0:14:22,16:11:23,"14'23""/mi",117,43ft,167ft,"14'42""/mi"
57,1.00mi,0:20:14,16:31:36,"20'13""/mi",116,131ft,98ft,"17'39""/mi"
58,1.00mi,0:21:19,16:52:56,"21'19""/mi",116,33ft,108ft,"17'39""/mi"
59,1.00mi,0:15:05,17:08:01,"15'04""/mi",118,82ft,13ft,"14'37""/mi"
60,1.00mi,0:17:13,17:25:14,"17'13""/mi",119,75ft,112ft,"16'18""/mi"
61,1.00mi,0:16:44,17:41:58,"16'44""/mi",119,89ft,3ft,"16'01""/mi"
62,1.00mi,0:16:50,17:58:48,"16'49""/mi",123,16ft,102ft,"17'15""/mi"
63,1.00mi,0:21:14,18:20:02,"21'15""/mi",141,36ft,715ft,"15'29""/mi"
64,0.21mi,0:02:26,18:22:28,"11'42""/mi",134,20ft,3ft,"11'18""/mi"
